chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-05-04,1,Fortnight,Taylor Swift Featuring Post Malone,0,1,1
2024-05-04,2,Down Bad,Taylor Swift,0,2,1
2024-05-04,3,I Can Do It With A Broken Heart,Taylor Swift,0,3,1
2024-05-04,4,The Tortured Poets Department,Taylor Swift,0,4,1
2024-05-04,5,So Long; London,Taylor Swift,0,5,1
2024-05-04,6,My Boy Only Breaks His Favorite Toys,Taylor Swift,0,6,1
2024-05-04,7,But Daddy I Love Him,Taylor Swift,0,7,1
2024-05-04,8,Florida!!!,Taylor Swift Featuring Florence + The Machine,0,8,1
2024-05-04,9,Who's Afraid Of Little Old Me?,Taylor Swift,0,9,1
2024-05-04,10,Guilty As Sin?,Taylor Swift,0,10,1
2024-05-04,11,Fresh Out The Slammer,Taylor Swift,0,11,1
2024-05-04,12,loml,Taylor Swift,0,12,1
2024-05-04,13,The Alchemy,Taylor Swift,0,13,1
2024-05-04,14,The Smallest Man Who Ever Lived,Taylor Swift,0,14,1
2024-05-04,15,Beautiful Things,Benson Boone,3,2,14
2024-05-04,16,Too Sweet,Hozier,1,1,5
2024-05-04,17,Like That,Future; Metro Boomin & Kendrick Lamar,2,1,5
2024-05-04,18,Lose Control,Teddy Swims,4,1,37
2024-05-04,19,Push Ups,Drake,0,19,1
2024-05-04,20,I Can Fix Him (No Really I Can),Taylor Swift,0,20,1
2024-05-04,21,Clara Bow,Taylor Swift,0,21,1
2024-05-04,22,Espresso,Sabrina Carpenter,7,7,2
2024-05-04,23,thanK you aIMee,Taylor Swift,0,23,1
2024-05-04,24,So High School,Taylor Swift,0,24,1
2024-05-04,25,The Black Dog,Taylor Swift,0,25,1
2024-05-04,26,imgonnagetyouback,Taylor Swift,0,26,1
2024-05-04,27,A Bar Song (Tipsy),Shaboozey,36,27,2
2024-05-04,28,Lovin On Me,Jack Harlow,6,1,24
2024-05-04,29,Saturn,SZA,10,6,9
2024-05-04,30,The Albatross,Taylor Swift,0,30,1
2024-05-04,31,Texas Hold 'Em,Beyonce,5,1,11
2024-05-04,32,The Prophecy,Taylor Swift,0,32,1
2024-05-04,33,We Can't Be Friends (Wait For Your Love),Ariana Grande,8,1,7
2024-05-04,34,I Hate It Here,Taylor Swift,0,34,1
2024-05-04,35,How Did It End?,Taylor Swift,0,35,1
2024-05-04,36,Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,0,36,1
2024-05-04,37,Stick Season,Noah Kahan,9,9,30
2024-05-04,38,I Like The Way You Kiss Me,Artemas,12,12,5
2024-05-04,39,I Look In People's Windows,Taylor Swift,0,39,1
2024-05-04,40,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,11,1,35
2024-05-04,41,Cruel Summer,Taylor Swift,13,1,51
2024-05-04,42,Greedy,Tate McRae,16,3,32
2024-05-04,43,Type Shit,Future; Metro Boomin; Travis Scott & Playboi Carti,14,2,5
2024-05-04,44,Cassandra,Taylor Swift,0,44,1
